#,Country,Tot. Area (Km²),Tot. Area (mi²),Land Area (Km²),Land Area (mi²),% of world landmass
61,Zimbabwe,"390,757","150,872","386,850","149,364",0.30%
62,Japan,"377,930","145,920","364,555","140,755",0.20%
63,Germany,"357,114","137,882","348,560","134,580",0.20%
64,Philippines,"342,353","132,183","298,170","115,124",0.20%
65,Congo,"342,000","132,047","341,500","131,854",0.20%
66,Finland,"338,424","130,666","303,890","117,333",0.20%
67,Vietnam,"331,212","127,882","310,070","119,719",0.20%
68,Malaysia,"330,803","127,724","328,550","126,854",0.20%
69,Norway,"323,802","125,021","365,268","141,031",0.20%
70,Côte d'Ivoire,"322,463","124,504","318,000","122,780",0.20%
71,Poland,"312,679","120,726","306,230","118,236",0.20%
72,Oman,"309,500","119,499","309,500","119,499",0.20%
73,Italy,"301,336","116,346","294,140","113,568",0.20%
74,Ecuador,"276,841","106,889","248,360","95,892",0.20%
75,Burkina Faso,"272,967","105,393","273,600","105,638",0.20%
76,New Zealand,"270,467","104,428","263,310","101,665",0.20%
77,Gabon,"267,668","103,347","257,670","99,487",0.20%
78,Western Sahara,"266,000","102,703","266,000","102,703",0.20%
79,Guinea,"245,857","94,926","245,720","94,873",0.20%
80,United Kingdom,"242,900","93,784","241,930","93,410",0.20%
81,Uganda,"241,550","93,263","199,810","77,147",0.10%
82,Ghana,"238,533","92,098","227,540","87,854",0.20%
83,Romania,"238,391","92,043","230,170","88,869",0.20%
84,Laos,"236,800","91,429","230,800","89,112",0.20%
85,Guyana,"214,969","83,000","196,850","76,004",0.10%
86,Belarus,"207,600","80,155","202,910","78,344",0.10%
87,Kyrgyzstan,"199,951","77,201","191,800","74,054",0.10%
88,Senegal,"196,722","75,955","192,530","74,336",0.10%
89,Syria,"185,180","71,498","183,630","70,900",0.10%
90,Cambodia,"181,035","69,898","176,520","68,155",0.10%
91,Uruguay,"181,034","69,898","175,020","67,576",0.10%
92,Suriname,"163,820","63,251","156,000","60,232",0.10%
93,Tunisia,"163,610","63,170","155,360","59,985",0.10%
94,Bangladesh,"147,570","56,977","130,170","50,259",0.10%
95,Nepal,"147,181","56,827","143,350","55,348",0.10%
96,Tajikistan,"143,100","55,251","139,960","54,039",0.10%
97,Greece,"131,990","50,962","128,900","49,769",0.10%
98,Nicaragua,"130,373","50,337","120,340","46,464",0.10%
99,North Korea,"120,538","46,540","120,410","46,491",0.10%
100,Malawi,"118,484","45,747","94,280","36,402",0.10%
101,Eritrea,"117,600","45,406","101,000","38,996",0.10%
102,Benin,"112,622","43,484","112,760","43,537",0.10%
103,Honduras,"112,492","43,433","111,890","43,201",0.10%
104,Liberia,"111,369","43,000","96,320","37,189",0.10%
105,Bulgaria,"110,879","42,811","108,560","41,915",0.10%
106,Cuba,"109,884","42,426","106,440","41,097",0.10%
107,Guatemala,"108,889","42,042","107,160","41,375",0.10%
108,Iceland,"103,000","39,769","100,250","38,707",0.10%
109,South Korea,"100,210","38,691","97,230","37,541",0.10%
110,Hungary,"93,028","35,918","90,530","34,954",0.10%
111,Portugal,"92,090","35,556","91,590","35,363",0.10%
112,Jordan,"89,342","34,495","88,780","34,278",0.10%
113,Serbia,"88,361","34,116","87,460","33,768",0.10%
114,Azerbaijan,"86,600","33,436","82,658","31,914",0.10%
115,Austria,"83,871","32,383","82,409","31,818",0.10%
116,United Arab Emirates,"83,600","32,278","83,600","32,278",0.10%
117,French Guiana,"83,534","32,253","82,200","31,738",0.10%
118,Czechia,"78,865","30,450","77,240","29,823",0.10%
119,Panama,"75,417","29,119","74,340","28,703",0.00%
120,Sierra Leone,"71,740","27,699","72,180","27,869",0.00%
121,Ireland,"70,273","27,133","68,890","26,599",0.00%
122,Georgia,"69,700","26,911","69,490","26,830",0.00%
123,Sri Lanka,"65,610","25,332","62,710","24,212",0.00%
124,Lithuania,"65,300","25,212","62,674","24,199",0.00%
125,Latvia,"64,559","24,926","62,200","24,016",0.00%
126,Togo,"56,785","21,925","54,390","21,000",0.00%
127,Croatia,"56,594","21,851","55,960","21,606",0.00%
128,Bosnia and Herzegovina,"51,209","19,772","51,000","19,691",0.00%
129,Costa Rica,"51,100","19,730","51,060","19,714",0.00%
130,Slovakia,"49,037","18,933","48,088","18,567",0.00%
131,Dominican Republic,"48,671","18,792","48,320","18,656",0.00%
132,Estonia,"45,227","17,462","42,390","16,367",0.00%
133,Denmark,"43,094","16,639","42,430","16,382",0.00%
134,Netherlands,"41,850","16,158","33,720","13,019",0.00%
135,Switzerland,"41,284","15,940","39,516","15,257",0.00%
136,Bhutan,"38,394","14,824","38,117","14,717",0.00%
137,Taiwan,"36,193","13,974","35,410","13,672",0.00%
138,Guinea-Bissau,"36,125","13,948","28,120","10,857",0.00%
139,Moldova,"33,846","13,068","32,850","12,683",0.00%
140,Belgium,"30,528","11,787","30,280","11,691",0.00%
141,Lesotho,"30,355","11,720","30,360","11,722",0.00%
142,Armenia,"29,743","11,484","28,470","10,992",0.00%
143,Solomon Islands,"28,896","11,157","27,990","10,807",0.00%
144,Albania,"28,748","11,100","27,400","10,579",0.00%
145,Equatorial Guinea,"28,051","10,831","28,050","10,830",0.00%
146,Burundi,"27,834","10,747","25,680","9,915",0.00%
147,Haiti,"27,750","10,714","27,560","10,641",0.00%
148,Rwanda,"26,338","10,169","24,670","9,525",0.00%
149,Republic of North Macedonia,"25,713","9,928","25,220","9,737",0.00%
150,Djibouti,"23,200","8,958","23,180","8,950",0.00%
151,Belize,"22,966","8,867","22,810","8,807",0.00%
152,El Salvador,"21,041","8,124","20,720","8,000",0.00%
153,Israel,"20,770","8,019","21,640","8,355",0.00%
154,Slovenia,"20,273","7,827","20,140","7,776",0.00%
155,New Caledonia,"18,575","7,172","18,280","7,058",0.00%
156,Fiji,"18,272","7,055","18,270","7,054",0.00%
157,Kuwait,"17,818","6,880","17,820","6,880",0.00%
158,Eswatini,"17,364","6,704","17,200","6,641",0.00%
159,Timor-Leste,"14,874","5,743","14,870","5,741",0.00%
160,Bahamas,"13,943","5,383","10,010","3,865",0.00%
161,Montenegro,"13,812","5,333","13,450","5,193",0.00%
162,Vanuatu,"12,189","4,706","12,190","4,707",0.00%
163,Falkland Islands,"12,173","4,700","12,170","4,699",0.00%
164,Qatar,"11,586","4,473","11,610","4,483",0.00%
165,Jamaica,"10,991","4,244","10,830","4,181",0.00%
166,Gambia,"10,689","4,127","10,120","3,907",0.00%
167,Lebanon,"10,452","4,036","10,230","3,950",0.00%
168,Cyprus,"9,251","3,572","9,240","3,568",0.00%
169,Puerto Rico,"8,870","3,425","8,870","3,425",0.00%
170,State of Palestine,"6,220","2,402","6,020","2,324",0.00%
171,Brunei Darussalam,"5,765","2,226","5,270","2,035",0.00%
172,Trinidad and Tobago,"5,130","1,981","5,130","1,981",0.00%
173,French Polynesia,"4,167","1,609","3,660","1,413",0.00%
174,Cabo Verde,"4,033","1,557","4,030","1,556",0.00%
175,Samoa,"2,842","1,097","2,830","1,093",0.00%
176,Luxembourg,"2,586",998,"2,590","1,000",0.00%
177,Réunion,"2,511",970,"2,500",965,0.00%
178,Mauritius,"2,040",788,"2,030",784,0.00%
179,Comoros,"1,862",719,"1,861",719,0.00%
180,Guadeloupe,"1,628",629,"1,690",653,0.00%
181,Faeroe Islands,"1,393",538,"1,396",539,0.00%
182,Martinique,"1,128",436,"1,060",409,0.00%
183,"China, Hong Kong SAR","1,104",426,"1,050",405,0.00%
184,Sao Tome and Principe,964,372,960,371,0.00%
185,Turks and Caicos Islands,948,366,950,367,0.00%
186,Kiribati,811,313,810,313,0.00%
187,Bahrain,765,295,760,293,0.00%
188,Dominica,751,290,750,290,0.00%
189,Tonga,747,288,720,278,0.00%
190,Singapore,710,274,700,270,0.00%
191,Micronesia,702,271,700,270,0.00%
192,Saint Lucia,616,238,610,236,0.00%
193,Isle of Man,572,221,570,220,0.00%
194,Guam,549,212,540,208,0.00%
195,Andorra,468,181,470,181,0.00%
196,Northern Mariana Islands,464,179,460,178,0.00%
197,Palau,459,177,460,178,0.00%
198,Seychelles,452,175,460,178,0.00%
199,Curaçao,444,171,444,171,0.00%
200,Antigua and Barbuda,442,171,440,170,0.00%
201,Barbados,430,166,430,166,0.00%
202,Saint Helena,394,152,390,151,0.00%
203,Saint Vincent and the Grenadines,389,150,390,151,0.00%
204,Mayotte,374,144,375,145,0.00%
205,United States Virgin Islands,347,134,350,135,0.00%
206,Grenada,344,133,340,131,0.00%
207,Caribbean Netherlands,328,127,328,127,0.00%
208,Malta,316,122,320,124,0.00%
209,Maldives,300,116,300,116,0.00%
210,Cayman Islands,264,102,240,93,0.00%
211,Saint Kitts and Nevis,261,101,260,100,0.00%
212,Niue,260,100,260,100,0.00%
213,Saint Pierre and Miquelon,242,93,230,89,0.00%
214,Cook Islands,236,91,240,93,0.00%
215,American Samoa,199,77,200,77,0.00%
216,Marshall Islands,181,70,180,69,0.00%
217,Aruba,180,69,180,69,0.00%
218,Liechtenstein,160,62,160,62,0.00%
219,British Virgin Islands,151,58,150,58,0.00%
220,Wallis and Futuna Islands,142,55,140,54,0.00%
221,Montserrat,102,39,100,39,0.00%
222,Anguilla,91,35,90,35,0.00%
223,San Marino,61,24,60,23,0.00%
224,Bermuda,54,21,50,19,0.00%
225,Saint Martin,53,20,53,20,0.00%
226,Sint Maarten,34,13,34,13,0.00%
227,"China, Macao SAR",30,12,30,12,0.00%
228,Tuvalu,26,10,30,12,0.00%
229,Saint Barthélemy,21,8,21,8,0.00%
229,Nauru,21,8,20,8,0.00%
230,Tokelau,12,5,10,4,0.00%
231,Gibraltar,6,2,10,4,0.00%
232,Monaco,2,1,1,1,0.00%
233,Holy See,0,0,0,0,0.00%
